task_id,task_title,metric_type,metric_id,label,assessed_count,secure_count,developing_count,not_demonstrated_count,secure_percent,affected_count,affected_percent,lecturer_response,diagnostic_question
beta-exercise-23,Vorlesung 6 - Decision Trees,concept,id3_algorithm,ID3 Algorithm for Tree Construction,6,0,4,2,0.0,,,,
beta-exercise-23,Vorlesung 6 - Decision Trees,concept,information_gain,Information Gain,6,0,1,5,0.0,,,,
beta-exercise-23,Vorlesung 6 - Decision Trees,concept,random_forest,Random Forest,6,1,0,5,16.7,,,,
beta-exercise-23,Vorlesung 6 - Decision Trees,concept,bagging_and_feature_randomness,Bagging and Random Feature Selection,6,1,0,5,16.7,,,,
beta-exercise-23,Vorlesung 6 - Decision Trees,misconception,id3_is_random_split,ID3 als zufälliges Splitten,6,,,,,1,16.7,"Klarstellen, dass ID3 systematisch das Attribut mit bestem Gütemaß auswählt.",Wählt ID3 die Attribute zufällig oder nach einem Kriterium aus?
beta-exercise-23,Vorlesung 6 - Decision Trees,misconception,information_gain_not_understood,Informationsgewinn missverstanden,6,,,,,1,16.7,"Erklären, dass Informationsgewinn die Reduktion von Unreinheit durch einen Split misst.",Was misst Information Gain genau?
beta-exercise-25,Vorlesung 12 - Transformer und LLMs,concept,self_attention,Self-Attention,4,4,0,0,100.0,,,,
beta-exercise-25,Vorlesung 12 - Transformer und LLMs,concept,tokenization_embedding,Tokenisierung und Embedding,4,2,0,2,50.0,,,,
beta-exercise-25,Vorlesung 12 - Transformer und LLMs,concept,positional_encoding,Positionskodierung,4,1,2,1,25.0,,,,
beta-exercise-25,Vorlesung 12 - Transformer und LLMs,concept,autoregressive_generation,Autoregressive Textgenerierung,4,1,0,3,25.0,,,,
beta-exercise-25,Vorlesung 12 - Transformer und LLMs,misconception,position_in_attention,Reihenfolge kommt automatisch aus Attention,4,,,,,1,25.0,"Hervorheben, dass Positionsinformation zusätzlich eingebracht werden muss.",Warum würde ein Transformer ohne Positionskodierung Schwierigkeiten mit Reihenfolge haben?
